lastname,firstname,section,affiliation,position,degree,website,image
Ai,Lei,alumni,Child Mind Institute,Researcher,n/a,https://www.researchgate.net/scientific-contributions/Lei-Ai-2163473051,n/a
Calkins,Monica,team,University of Pennsylvania,Professor,n/a,https://www.med.upenn.edu/bbl/faculty-mcalkins.html,/assets/images/team/monica-calkins.jpg
Cieslak,Matt,team,University of Pennsylvania,Director of Neuroinformatics,n/a,https://www.linkedin.com/in/matthew-cieslak-phd-62331614a/,/assets/images/team/matthew-cieslak.jpg
Clucas,Jon,team,Child Mind Institute,Associate Software Developer,n/a,https://www.linkedin.com/in/shnizzedy/,/assets/images/team/jon-clucas.jpg
Colcombe,Stan,team,Nathan Kline Institute,Researcher,n/a,https://www.nki.rfmh.org/people/stan-colcombe-ph-d/,/assets/images/team/stan-colcombe.jpg
Covitz,Sydney,alumni,Stanford University,PhD Student,n/a,https://www.linkedin.com/in/sydney-covitz/,/assets/images/team/sydney-covitz.jpg
Davatzikos,Christos,team,University of Pennsylvania,"Director, Center for Biomedical Image Computing and Analytics (CBICA)",n/a,https://www.med.upenn.edu/cbica/christos/,/assets/images/team/christos-davatzikos.jpg
Esper,Nathalia,team,Child Mind Institute,Software Engineer,n/a,https://www.linkedin.com/in/nathaliaesper/,/assets/images/team/nathalia-esper.png
Franco,Alexandre,team,Child Mind Institute,Researcher,n/a,https://twitter.com/alex_r_franco?lang=en,/assets/images/team/alex-franco.jpg
Giavasis,Steven,team,Child Mind Institute,Lead Research Engineer,n/a,https://childmind.org/bio/steven-giavasis-ms/,/assets/images/team/steven-giavasis.jpg
Gur,Raquel,team,University of Pennsylvania,"Professor of Psychiatry, Neurology, and Radiology",n/a,https://www.med.upenn.edu/bbl/faculty-regur.html,/assets/images/team/raquel-gur.jpg
Gur,Ruben,team,University of Pennsylvania,Professor of Psychology in Psychiatry,n/a,https://www.med.upenn.edu/bbl/faculty-rcgur.html,/assets/images/team/ruben-gur.jpg
Hoffmann,Mauricio,team,Universidade Federal de Santa Maria,Adjunct Professor,n/a,https://orcid.org/0000-0003-4232-3169,/assets/images/team/mauricio-hoffmann.jpg
Jackowski,Andrea,team,Federal University of São Paulo (UNIFESP),Researcher,n/a,https://www.linkedin.com/in/andrea-jackowski-a5312551/,/assets/images/team/andrea-jackowski.jpg
Kiar,Gregory,team,Child Mind Institute,Director of the Center for Data Analytics Innovation and Rigor (DAIR),n/a,https://childmind.org/bio/gregory-kiar-phd/,/assets/images/team/gregory-kiar.png
Lane,Connor,team,Child Mind Institute,Scientific Software Developer,n/a,https://childmind.org/bio/connor-lane-mse/,/assets/images/team/connor-lane.jpg
Mehta,Kahini,alumni,Columbia University,PhD Student,n/a,https://www.linkedin.com/in/kahini-mehta-a9b488173,/assets/images/team/kahini-mehta.png
Milham,Michael,leadership,Child Mind Institute,<b>Principal Investigator</b><br>Director of Healthy Brain Network,n/a,https://www.linkedin.com/in/michael-milham-4625a2265/,/assets/images/team/michael-milham.jpg
Moore,Tyler,team,University of Pennsylvania,Researcher,n/a,https://www.linkedin.com/in/tyler-moore-08660020,/assets/images/team/tyler-moore.jpg
Pan,Pedro,team,Instituto Nacional de Psiquiatria do Desenvolvimento,Vice-Coordinator,n/a,https://www.linkedin.com/in/pedro-mario-pan-6228b4158/?originalSubdomain=br,/assets/images/team/pedro-pan.jpg
Rohde,Luis,team,Federal University of Rio Grande do Sul,Researcher,n/a,https://iacapap.org/about/executive-committee-members-2022-2026/president-luis-rohde.html,/assets/images/team/luis-rohde.jpg
Salo,Taylor,team,University of Pennsylvania,Senior Scientist,n/a,https://tsalo.github.io/,/assets/images/team/taylor-salo.jpg
Salum,Giovanni,team,Child Mind Institute,"Vice-President, Global Programs",n/a,https://childmind.org/bio/giovanni-abrahao-salum-md-phd/,/assets/images/team/giovanni-salum.png
Satterthwaite,Ted,n/a,University of Pennsylvania,Principal Investigator,n/a,https://pennlinc.io,/assets/images/team/ted-satterthwaite.jpg
Satterthwaite,Ted,leadership,University of Pennsylvania,<b>Principal Investigator</b><br>McLure Associate Professor in Psychiatry & Behavioral Research II,n/a,https://pennlinc.io,/assets/images/team/ted-satterthwaite.jpg
Shafiei,Golia,team,University of Pennsylvania,Post-Doctoral Researcher,n/a,https://www.linkedin.com/in/goliashafiei/,/assets/images/team/golia-shafiei.jpg
Tapera,Tinashe,alumni,Northeastern University,PhD Student,n/a,https://tinashemtapera.com/,/assets/images/team/tinashe-tapera.jpg
Tottenham,Nim,team,Columbia University,Researcher,n/a,https://en.wikipedia.org/wiki/Nim_Tottenham,/assets/images/team/nim-tottenham.jpg
Zuo,Xi-Nian,team,Chinese Academy of Sciences,Professor,n/a,http://sourcedb.psych.cas.cn/en/epsychexpert/201012/t20101202_3035942.html,/assets/images/team/xi-nian-zuo.jpg
